survey number,all narratives,archetype,optimism_str,optimism_int,id,unique_id,expqual-field,expqual-field_notes,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-influential_param,resp-policy1,resp-policy2,resp-policy3,resp-confidence,resp-additional_info
24,"VS-o, MP-p, GWH-vp",mp,p,2,mp2,24mp2,Engineering and computer science,0,15 to 19,Very familiar,Familiar,Somewhat Unlikely,Very unlikely,Very unlikely,Very unlikely,Very Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,"Understanding of the Vancouver market (I would have said ""demolished and rebuilt"" if it were in Vancouver, as I'm assuming the owners will sell before 2035 and move to a condo, but in N Van there are fewer land assemblies so I'm assuming it will be bought by a young family who will reno the inside only).","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Conventional financing mechanism such as grants or tax abatements,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,"I'm fairly certain this home will be sold before 2035 so that the retired couple can move into a smaller home and save on monthly maintenance, plus pay lower utilities, etc. So that's why I chose the benchmarking as a useful tool as I'm imagining it occurring during the buy/sell process. I also would hope that the new owners would have to follow a retrofit code for any upgrades they undertake."
24,"VS-o, MP-p, GWH-vp",gwh,vp,1,gwh1,24gwh1,Engineering and computer science,0,15 to 19,Very familiar,Familiar,Somewhat Unlikely,Very unlikely,Very unlikely,Very unlikely,Very Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,Difficult to retrofit to high energy efficiency- would require full cladding update that may be difficult when maintaining character on such a home (I'm assuming that would be required),"An energy disclosure mandate with a benchmarking, audit, and labeling protocol","The implementation of a Retrofit Code for energy, emissions, and safety upgrades",Heritage financing (i.e. helping homeowners who want to upgrade character homes but acknowledge the additional cost of needing to maintain certain aesthetic and historical components),Medium Confidence,"It sounds like this building will likely be sold in the timeframe. The current owner would have zero interest in upgrading. The new owners might, but unless there is a mandated retrofit code, there is no guarantee. The discussion didn't mention heritage requirements, but there may be some given the age and character of the house, that would result in additional costs to upgrade."
23,"VS-vo, MP-sp, GWH-p",vs,vo,6,vs6,23vs6,Government and public works,,less than 5,Very familiar,Unfamiliar,Neutral,Unlikely,Very Unlikely,Very Unlikely,Neutral,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Likely,stated equipment and envelope replacement timelines; knowledge of City of Vancouver's zero-emission thermal equipment requirements by 2025; lack of active cooling and rising temperatures; possible addition of EUI load in adding a rental suite;,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",The creation of an integrated public retrofit servicing agency,Crown Corporation or other powerful public entity specifically mandated to achieve full decarbonization of existing buildings before 2040 (with support of some of the above instruments),Low Confidence,"Also considered ""Innovative financing mechanisms..."" policy instrument, but decided this was less likely to be as valued by this couple given the desire to fund upgrades through personal savings."
23,"VS-vo, MP-sp, GWH-p",mp,sp,3,mp3,23mp3,Government and public works,0,less than 5,Very familiar,Unfamiliar,Somewhat Unlikely,Very unlikely,Very unlikely,Very unlikely,Very Unlikely,More likely to be demolished and rebuilt,Very Likely,"not financially-inclined/able to invest in EE or GHG reductions; timing of equipment replacements does not line up, so unlikely to shift to a central heat pump system if looking to add cooling (particularly if before 2025, which seems likely); age of building, presence of asbestos, and more difficult/costly to retrofit thermal equipment setup","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Innovative financing mechanisms such as attaching loans to meter savings,Crown Corporation or other powerful public entity specifically mandated to achieve full decarbonization of existing buildings before 2040 (with support of some of the above instruments),Low Confidence,0
23,"VS-vo, MP-sp, GWH-p",gwh,p,2,gwh2,23gwh2,Government and public works,0,less than 5,Very familiar,Unfamiliar,Somewhat Unlikely,Very unlikely,Very unlikely,Very unlikely,Neutral,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Somewhat Likely,"lack of cooling; likelihood that home will be sold before 2035; desirable character of the home; potential to replace fireplaces with heat pumps, but potential for owner to not want a heat pump to avoid affecting look and feel of the home",Aggregation of individual retrofit projects into packages,The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Low Confidence,0
22,"MP-so, GWH-sp, WC-vp",mp,so,4,mp4,22mp4,Government and public works,,less than 5,Familiar,Slightly familiar,Likely,Unlikely,Unlikely,Unlikely,Somewhat Likely,More likely to be demolished and rebuilt,Very Likely,City of Vancouver's mandate to both densify the City (in the works with our City-wide plan) and aggressively zero emissions-ify our housing stock,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",An education campaign for owners and practitioners on potential savings and best practices,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,"Story specific: the likely outcome for this house is to upgrade their space heating + DHW systems to electric-based equipment after 2025 when this will be a requirement. The contractor will ideally recommend air tightness and envelope improvements to improve comfort and lower bills. 

General information (not story specific) In the City of Vancouver, we have the mandate and regulation authority to set GHG emissions limits / prescriptive equipment use. Rather than energy efficiency (which Step Code supports, meaning fossil fuels are not diminished at nearly the same rate) we are focused on electrifying mechanical equipment and appliances. With supporting focus on improving the envelope to reduce heating / cooling loads.

So while Vancouver homes will likely not hit high levels of the Step Code, they will achieve significant GHG reductions. 

Near term priorities are 1) create support solutions for those with the highest needs (high energy bills + low income) and 2) public education! Get green-minded people asking for these upgrades."
22,"MP-so, GWH-sp, WC-vp",gwh,sp,3,gwh3,22gwh3,Government and public works,0,less than 5,Familiar,Slightly familiar,Likely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,"Heritage character, large, unlikely to be demolished.",An education campaign for owners and practitioners on potential savings and best practices,Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,"I foresee a PACE - like property-based financing structure would work well here to facilitate an envelope upgrade paired with a central heating+cooling heat pump system. A 5 head ductless mini-split system could avoid the need for invasive ductwork. The financial benefit from switching from 100% baseboard to 300+% efficient heat pump could provide a quick payback.

A homeowner support tool (online and / or in person) would likely be useful for this couple."
22,"MP-so, GWH-sp, WC-vp",wc,vp,1,wc1,22wc1,Government and public works,0,less than 5,Familiar,Slightly familiar,Likely,Likely,Very unlikely,Very unlikely,Somewhat Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,"Home is already all-electric (for space heating + hot water), regulation will eventually require appliances to be electrified as well. But that is far away.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,This home nearly meets the zero emissions criteria (all electric for space heating + DHW). It is well on its way to be future-proofed for regulation. All that is left is the fireplaces and gas appliances.
22,"MP-so, GWH-sp, WC-vp",mp,so,4,mp4,22mp4,Environment,,10 to 14,Very familiar,Slightly familiar,Likely,Somewhat Likely,Unlikely,Very unlikely,Neutral,More likely to be demolished and rebuilt,Somewhat Likely,"Their ability to meet upper steps will depend on whether they opt to install a heat pump as their heating and cooling system when the furnace it out. However, if the whole are surrounding the house is being redeveloped, the likliehood is that the home would experience the same fate as others, where density is favoured and land values reflect that. (Though, I'm not super familiary with the Vancouver context, so it's just informed by the stories I've heard!)",Aggregation of individual retrofit projects into packages,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades",Utility offer of owning and renting heat pump technology - simliar to the model in New Brunswick (heat pumps) and Ontario (often boilers and furnaces),Medium Confidence,0
22,"MP-so, GWH-sp, WC-vp",gwh,sp,3,gwh3,22gwh3,Environment,0,10 to 14,Very familiar,Slightly familiar,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"MP-so, GWH-sp, WC-vp",wc,vp,1,wc1,22wc1,Environment,0,10 to 14,Very familiar,Slightly familiar,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"VS-so, MP-vp, WC-vo",vs,so,4,vs4,25vs4,Engineering and computer science,,15 to 19,Very familiar,Familiar,Likely,Very Unlikely,Very Unlikely,Very Unlikely,Likely,More likely to be demolished and rebuilt,Unlikely,"The rate of homes that are demolished in the City on an Annual Basis, The most costly part of the home is the land. The occupancts are morel likely to demolish the building and rebuild this sort of home then to retrofit becuase the home is extremly ugly",Innovative financing mechanisms such as attaching loans to meter savings,"Retrofit energy codes are a waste of time, nobody would retrofit at all. I also have zero confidence in the people who writeh policy in the province at present . They are not qualified professionals just a load of folk with an opinion based on what whey read or were told.",You need to incentivise based on metered saving energy reductions,High Confidence,"Don't compare current buildings to a new code like step code that has yet to be proven. 
There are serious health and safety concerns with the Step code approach that are likely to have negative impacts to occupancy health and well being. The baseline for an existing building is the current energy use from the billing data. There is no benefit to comparing it to Step Code that i can see whatsoever. 

it's also impossible, how do you measure the TEDI of an existing building ?"
25,"VS-so, MP-vp, WC-vo",mp,vp,1,mp1,25mp1,Engineering and computer science,0,15 to 19,Very familiar,Familiar,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"VS-so, MP-vp, WC-vo",wc,vo,6,wc6,25wc6,Engineering and computer science,0,15 to 19,Very familiar,Familiar,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"VS-vp,GWH-vo, WC-so",vs,vp,1,vs1,19vs1,"Architecture, planning, and environmental design",,10 to 14,Familiar,Slightly familiar,Very Likely,Somewhat Likely,Neutral,Very Unlikely,Neutral,More likely to be demolished and rebuilt,Very Unlikely,"Systems - though upgraded - are still low performance. Owner's age and financial situation makes retrofit less desirable. I selected 'neutral' in response to that question to reflect a possible opportunity to improve envelope performance when upgrading acoustic performance of the rental suite...and because elderly get cold more easily and retrofit would reduce energy bills - a boomer value (I say that partially tongue-in-cheek, but partly serious). Asbestos remediation might also be a driver, if a suspected connection to a decline in their health...though having lived with it for so long, they would be less motivated, than say a family with kids or expecting. (A transition to entry-level supported living might be more viable, but on the other hand, social isolation is a killer and they sound invested in their community, so would likely be motivated to stay in the neighbourhood). Any helper suite retrofit would likely be piecemeal at best...unless incentives offered to make a comprehensive retrofit viable - a notable 'if'. Given their age and Vancouver's steadily growing demographic and rising inflation, demolition and rebuilding is more likely (unless alternatives incentivized). While the new home may be designed to net zero, the significant expenditure in embodied carbon would negatively impact the critical reductions needed between now and 2030 / 2050.",A public financing scheme such as a provincial 'Green Bank',Innovative financing mechanisms such as attaching loans to meter savings,The creation of an integrated public retrofit servicing agency.,High Confidence,"Not having read this question before responding to the above, I added most of my qualifiers into the previous text response field. As an architect, I would add that while disregarded by many stylistically (for good reason), they can have good bones for modern renovations. That said, these protagonists are very unlikely candidates for such an investment.

Motivation for the three recommended incentive strategies was based on the fact that these protagonists would likely value financial viability and ease of implementation over any others.

Oh, and answers to the 'likeliness of achieving various step code levels by 2035' question reflect responses to subsequent questions about retrofit likelihood. (I had initially filled them out negating these factors, but that would seem to lessen the value of the speculative exercise). A prompt to confirm what you're looking for there would help respondents put any doubts to rest."
19,"VS-vp,GWH-vo, WC-so",gwh,vo,6,gwh6,19gwh6,"Architecture, planning, and environmental design",0,10 to 14,Familiar,Slightly familiar,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,More likely to retrofit to Step Code 5,Very Likely,"The protagonists' demographic (being parents with wide age spread and young family), their relative financial comfort (affluence via stability if not number of zeros), their investment in the house (valuing its design and caring enough to maintain it...and even enjoying the DIY aspect), and their desire to stay in a good neighbour as their kids grow, and the many options such a property affords to accommodating shifting living structures as they get old and their kids grow up (i.e. they could subdivide the house for one of their kid's family, and another could live in a new laneway house in the spacious back yard)",A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,Conventional financing mechanism such as grants or tax abatements.,High Confidence,"Given their ecological ethics, and the wife research background (as a journalist) and the husband's interest (and likely growing competence and confidence) in DIY projects, I expect they would already be hip to the need to improve their home's energy performance; and would do their own research to get up to speed on things they needed to do.

Given their financial stability, they are not hand to mouth, so would likely be well-served by a more conventional 'green grant' , 'green loan' mechanism. 

Given the husband's DIY interests, the coupling of retrofits into packages would be a more satisfying (and more effective) way for them to get further faster. The uprooting chaos of a comprehensive retrofit would be daunting thought with 2-3 small kids (and even more so with one in the oven); and an unstructured one-by-one approach could mean they would be in perpetual reno mode - also chaotic and stressful.

The 'best practices' component of the education campaign did give me pause, if this included DIY How-tos. Though again, given the husband's comfort in this space as outlined, I imagine they could figure this out on their own on-line and with the occasional help line chat with a seasoned Home Depot employee."
19,"VS-vp,GWH-vo, WC-so",wc,so,4,wc4,19wc4,"Architecture, planning, and environmental design",0,10 to 14,Familiar,Slightly familiar,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Neutral,More likely to retrofit to Step Code 5,Somewhat Likely,"Given the description, I envision any renovations being dependent on incentives (and / or combination of incentives and social competition / shaming). The stepped responses in 'likeliness' reflect suspected CBA evaluation thresholds. Given air leakage, I could imagine them springing for an airtightness retrofit as the most economical option if they could do only one thing. If incentives compelling enough (and / or social shaming great enough) I imagine this would motivate greater retrofit investments. And that, if they were doing it, I imagine the would see the value in doing this all at once - because this is cheaper in the long run (as any Civil Engineer would know). ...and no one wants their mother-in-law nagging about the renos not being done yet, or about the shame they are forced to suffer because theirs is the worst performing house of anyone in her bridge club.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Conventional financing mechanism such as grants or tax abatements,Innovative financing mechanisms such as attaching loans to meter savings.,High Confidence,"Given their financial affluence and their most likely retrofit motivators being incentives and social status, conventional financing mechanisms and mandated public disclosure seem the most likely triggers.

I could imagine attaching loans to meter savings being an added bonus (perhaps more psychological than fiscal) for the civil engineer husband as performance analytics teachable-moments with his son. 

Anecdotal aside supporting the latter: 
M father is a PEng. Though not motivated by eco-social ethics (at least not until my daughter turned three and started scolding him for not), after he got his Nest thermostat, he became a highly competitive energy conservation ambassador. (Literally emailing us his Nest reports and letting us know how much he 'beat' his neighbour Joe by)."
18,"VS-p, SB-vp, WC-o",vs,p,2,vs2,18vs2,Education,,10 to 14,Very familiar,Familiar,Likely,Neutral,Very Unlikely,Very Unlikely,Likely,More likely to be demolished and rebuilt,Somewhat Likely,"If it is torn down, like that CoV will have net-zero carbon requirements in place by then.",Aggregation of individual retrofit projects into packages,Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
18,"VS-p, SB-vp, WC-o",sb,vp,1,sb1,18sb1,Education,0,10 to 14,Very familiar,Familiar,Likely,Neutral,Very unlikely,Very unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Somewhat Likely,"By the time the furnace needs updated, it is likely that CoV will encourage/mandate heat pumps...",Aggregation of individual retrofit projects into packages,Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
18,"VS-p, SB-vp, WC-o",wc,o,5,wc5,18wc5,Education,0,10 to 14,Very familiar,Familiar,Very Likely,Neutral,Somewhat Unlikely,Very unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,Already is all electric...,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
17,"VS-sp, SB-p,WC-vo",vs,sp,3,vs3,17vs3,Engineering and computer science,,10 to 14,Very familiar,Familiar,Likely,Likely,Unlikely,Very Unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Likely,"No motivators for renewing the house for this particular user identity, I don't see drivers for them to sell and leave either.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",A public financing scheme such as a provincial 'Green Bank',"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,It appears as though their is no major driver for this particular type of owner. It is my opinion that only larger forces (like a public narrative that made you a pariah if you didn't retrofit your home or regulation) would drive this kind of homeowner.
17,"VS-sp, SB-p,WC-vo",sb,p,2,sb2,17sb2,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Very Likely,Likely,Unlikely,Very unlikely,Likely,More likely to be demolished and rebuilt,Likely,"They will age out of the home before 2050 and it will be torn down and rebuilt to code, which will be carbon free by that time.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",The creation of an integrated public retrofit servicing agency,Land use adaptation (multi-generational housing) could trigger retrofit that would accommodate energy efficiency,Medium Confidence,0
17,"VS-sp, SB-p,WC-vo",wc,vo,6,wc6,17wc6,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Very Likely,Neutral,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,More likely to retrofit to Step Code 5,Likely,"A renovation in this type of area and income class is likely for non-energy reasons, opening door for retrofit.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",An education campaign for owners and practitioners on potential savings and best practices,The creation of an integrated public retrofit servicing agency.,Medium Confidence,0
16,"VS-so,SB-sp, GWH-vp",vs,so,4,vs4,16vs4,Other,Industry association,10 to 14,Very familiar,Familiar,Likely,Neutral,Unlikely,Somewhat Unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,"The age of the house, the likely motivation level of the owners, and the effort required to bring a house of this age/condition to be Step 5-compliant.",Aggregation of individual retrofit projects into packages,An education campaign for owners and practitioners on potential savings and best practices,"A comprehensive, multi-level financing scheme consisting of tax credits (federal and provincial), local government incentives (property tax credits, expedited permit approval, reduced permit fees), preferred rate bank financing, utility rebates for mechanicals.",High Confidence,"IMO, a big part of today's situation is lack of consumer knowledge. Industry and government would be in a much better position to provide retrofit solutions if homeowners demanded high efficiency homes. Without 'bottom-up' demand push, implementation of policies and mandatory regulations will always be met with some resistance."
16,"VS-so,SB-sp, GWH-vp",sb,sp,3,sb3,16sb3,Other,Industry association,10 to 14,Very familiar,Familiar,Likely,Likely,Unlikely,Somewhat Unlikely,Likely,More likely to be demolished and rebuilt,Somewhat Likely,"Age of the homeowners, and likelihood that new owners will demolish and rebuild, given the very high land value of the property.",I do not believe this house will be retrofitted.,"Unless there is such a comprehensive financing package for energy retrofits that make it irresistible to future homeowners, it will be demolished.","IMO, none of the above-listed options will be sufficient to entice the homeowner to retrofit.",High Confidence,"This type of house is in a 'dead zone' of retrofit potential. Unlike a Vancouver Special, it doesn't have any nostalgic value. In fact, it likely represents an 'unfavoured' era of Vancouver's single family home architecture/design/development. As a result, I find it unlikely that it will be retrofitted/renovated. It is a classic candidate for demo/rebuild."
16,"VS-so,SB-sp, GWH-vp",gwh,vp,1,gwh1,16gwh1,Other,Industry association,10 to 14,Very familiar,Familiar,Likely,Likely,Unlikely,Somewhat Unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Likely,"Vancouver has implemented incentives to retain Character Homes. This house would qualify, so I could see a subsequent homeowner expanding the house and rebuilding the garage into a laneway house, and using the opportunity to complete a full-building energy retrofit.",Aggregation of individual retrofit projects into packages,The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,"Unlike Case 2, this house is of an archtype much loved by Vancouverites, and the City has demonstrated its desire to retain them. With the proper package of incentives, including senior government tax credits, utility rebates and City incentives, a moderate-level upgrade would be both achievable and desirable by a future homeowner."
15,"VS-o, SB-so, GWH-p",vs,o,5,vs5,15vs5,Engineering and computer science,,10 to 14,Very familiar,Familiar,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Likely,More likely to retrofit to Step Code 5,Likely,Homeowner interest in sustainability,A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,Conventional financing mechanism such as grants or tax abatements.,Medium Confidence,"There are heat pump based solutions that could offer both heating and cooling. The awareness of the impacts of the future climate (anticipated 30% reduction in heating energy demand by 2030s) is in its fledgling state. As long as we have an understanding of the average future climate of the 2050s and design our retrofits from that perspective, that would help."
15,"VS-o, SB-so, GWH-p",sb,so,4,sb4,15sb4,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Likely,Likely,Likely,Likely,Likely,More likely to retrofit to Step Code 5,Likely,Vancouver's real estate market and CoV focus on Sustainability,A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,An education campaign for owners and practitioners on potential savings and best practices.,Medium Confidence,they might choose to upgrade their windows to higher energy efficiency and lower solar heat gain coeffs (depending on what the model says about overheating). Upgrade to heat pump with cooling as necessary.
15,"VS-o, SB-so, GWH-p",gwh,p,2,gwh2,15gwh2,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Neutral,Neutral,Neutral,Neutral,Neutral,More likely to be demolished and rebuilt,Likely,likely carbon free by 2050 if they reconstruct,A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,An education campaign for owners and practitioners on potential savings and best practices.,Medium Confidence,The building is old and needs enclosure needs key repairs by 2030s. She can sell the lot to a developer and get a MURB built with a brand new energy efficient suite for herself (in an ideal world!).
