unique_id,archetype,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,binary-policyopt1,binary-policyopt2,binary-policyopt3,binary-policyopt4,binary-policyopt5,binary-policyopt6,binary-policyopt7,binary-policyopt8,binary-policyopt9,binary-policyopt10,binary-policyopt11,optimism_int,resp-additional_info,resp-influential_param
19vs1,4,1,3,6,5,7,6,4,1,4,2,1,2,6,7,4,0,1,0,0,0,1,1,0,0,0,0,1,"Not having read this question before responding to the above, I added most of my qualifiers into the previous text response field. As an architect, I would add that while disregarded by many stylistically (for good reason), they can have good bones for modern renovations. That said, these protagonists are very unlikely candidates for such an investment.

Motivation for the three recommended incentive strategies was based on the fact that these protagonists would likely value financial viability and ease of implementation over any others.

Oh, and answers to the 'likeliness of achieving various step code levels by 2035' question reflect responses to subsequent questions about retrofit likelihood. (I had initially filled them out negating these factors, but that would seem to lessen the value of the speculative exercise). A prompt to confirm what you're looking for there would help respondents put any doubts to rest.","Systems - though upgraded - are still low performance. Owner's age and financial situation makes retrofit less desirable. I selected 'neutral' in response to that question to reflect a possible opportunity to improve envelope performance when upgrading acoustic performance of the rental suite...and because elderly get cold more easily and retrofit would reduce energy bills - a boomer value (I say that partially tongue-in-cheek, but partly serious). Asbestos remediation might also be a driver, if a suspected connection to a decline in their health...though having lived with it for so long, they would be less motivated, than say a family with kids or expecting. (A transition to entry-level supported living might be more viable, but on the other hand, social isolation is a killer and they sound invested in their community, so would likely be motivated to stay in the neighbourhood). Any helper suite retrofit would likely be piecemeal at best...unless incentives offered to make a comprehensive retrofit viable - a notable 'if'. Given their age and Vancouver's steadily growing demographic and rising inflation, demolition and rebuilding is more likely (unless alternatives incentivized). While the new home may be designed to net zero, the significant expenditure in embodied carbon would negatively impact the critical reductions needed between now and 2030 / 2050."
19gwh6,5,1,3,6,5,7,7,7,7,7,1,7,2,3,5,4,0,1,1,0,1,0,0,0,0,0,0,6,"Given their ecological ethics, and the wife research background (as a journalist) and the husband's interest (and likely growing competence and confidence) in DIY projects, I expect they would already be hip to the need to improve their home's energy performance; and would do their own research to get up to speed on things they needed to do.

Given their financial stability, they are not hand to mouth, so would likely be well-served by a more conventional 'green grant' , 'green loan' mechanism. 

Given the husband's DIY interests, the coupling of retrofits into packages would be a more satisfying (and more effective) way for them to get further faster. The uprooting chaos of a comprehensive retrofit would be daunting thought with 2-3 small kids (and even more so with one in the oven); and an unstructured one-by-one approach could mean they would be in perpetual reno mode - also chaotic and stressful.

The 'best practices' component of the education campaign did give me pause, if this included DIY How-tos. Though again, given the husband's comfort in this space as outlined, I imagine they could figure this out on their own on-line and with the occasional help line chat with a seasoned Home Depot employee.","The protagonists' demographic (being parents with wide age spread and young family), their relative financial comfort (affluence via stability if not number of zeros), their investment in the house (valuing its design and caring enough to maintain it...and even enjoying the DIY aspect), and their desire to stay in a good neighbour as their kids grow, and the many options such a property affords to accommodating shifting living structures as they get old and their kids grow up (i.e. they could subdivide the house for one of their kid's family, and another could live in a new laneway house in the spacious back yard)"
19wc4,3,1,3,6,5,7,7,6,6,4,1,6,1,5,6,4,1,0,0,0,1,1,0,0,0,0,0,4,"Given their financial affluence and their most likely retrofit motivators being incentives and social status, conventional financing mechanisms and mandated public disclosure seem the most likely triggers.

I could imagine attaching loans to meter savings being an added bonus (perhaps more psychological than fiscal) for the civil engineer husband as performance analytics teachable-moments with his son. 

Anecdotal aside supporting the latter: 
M father is a PEng. Though not motivated by eco-social ethics (at least not until my daughter turned three and started scolding him for not), after he got his Nest thermostat, he became a highly competitive energy conservation ambassador. (Literally emailing us his Nest reports and letting us know how much he 'beat' his neighbour Joe by).","Given the description, I envision any renovations being dependent on incentives (and / or combination of incentives and social competition / shaming). The stepped responses in 'likeliness' reflect suspected CBA evaluation thresholds. Given air leakage, I could imagine them springing for an airtightness retrofit as the most economical option if they could do only one thing. If incentives compelling enough (and / or social shaming great enough) I imagine this would motivate greater retrofit investments. And that, if they were doing it, I imagine the would see the value in doing this all at once - because this is cheaper in the long run (as any Civil Engineer would know). ...and no one wants their mother-in-law nagging about the renos not being done yet, or about the shame they are forced to suffer because theirs is the worst performing house of anyone in her bridge club."
18vs2,4,4,3,7,6,5,4,1,1,5,2,6,3,6,8,3,0,0,1,0,0,1,0,1,0,0,0,2,no response,"If it is torn down, like that CoV will have net-zero carbon requirements in place by then."
18sb1,2,4,3,7,6,5,4,1,1,5,3,6,3,6,8,3,0,0,1,0,0,1,0,1,0,0,0,1,no response,"By the time the furnace needs updated, it is likely that CoV will encourage/mandate heat pumps..."
18wc5,3,4,3,7,6,7,4,2,1,3,3,7,1,6,8,3,1,0,0,0,0,1,0,1,0,0,0,5,no response,Already is all electric...
17vs3,4,5,3,7,6,5,5,3,1,3,3,5,1,2,8,3,1,1,0,0,0,0,0,1,0,0,0,3,It appears as though their is no major driver for this particular type of owner. It is my opinion that only larger forces (like a public narrative that made you a pariah if you didn't retrofit your home or regulation) would drive this kind of homeowner.,"No motivators for renewing the house for this particular user identity, I don't see drivers for them to sell and leave either."
17sb2,2,5,3,7,6,7,5,3,1,5,2,5,1,7,9,3,1,0,0,0,0,0,1,0,1,0,0,2,no response,"They will age out of the home before 2050 and it will be torn down and rebuilt to code, which will be carbon free by that time."
17wc6,3,5,3,7,6,7,4,2,2,2,1,5,1,4,7,3,1,0,0,1,0,0,1,0,0,0,0,6,no response,"A renovation in this type of area and income class is likely for non-energy reasons, opening door for retrofit."
16vs4,4,10,3,7,6,5,4,3,2,5,3,1,3,4,6,4,0,0,1,1,0,1,0,0,0,0,0,4,"IMO, a big part of today's situation is lack of consumer knowledge. Industry and government would be in a much better position to provide retrofit solutions if homeowners demanded high efficiency homes. Without 'bottom-up' demand push, implementation of policies and mandatory regulations will always be met with some resistance.","The age of the house, the likely motivation level of the owners, and the effort required to bring a house of this age/condition to be Step 5-compliant."
16sb3,2,10,3,7,6,5,5,3,2,5,2,6,10,6,11,4,0,0,0,0,0,1,0,0,0,1,1,3,"This type of house is in a 'dead zone' of retrofit potential. Unlike a Vancouver Special, it doesn't have any nostalgic value. In fact, it likely represents an 'unfavoured' era of Vancouver's single family home architecture/design/development. As a result, I find it unlikely that it will be retrofitted/renovated. It is a classic candidate for demo/rebuild.","Age of the homeowners, and likelihood that new owners will demolish and rebuild, given the very high land value of the property."
16gwh1,5,10,3,7,6,5,5,3,2,5,3,5,3,7,8,4,0,0,1,0,0,0,1,1,0,0,0,1,"Unlike Case 2, this house is of an archtype much loved by Vancouverites, and the City has demonstrated its desire to retain them. With the proper package of incentives, including senior government tax credits, utility rebates and City incentives, a moderate-level upgrade would be both achievable and desirable by a future homeowner.","Vancouver has implemented incentives to retain Character Homes. This house would qualify, so I could see a subsequent homeowner expanding the house and rebuilding the garage into a laneway house, and using the opportunity to complete a full-building energy retrofit."
15vs5,4,5,3,7,6,6,6,6,6,5,1,5,2,3,5,3,0,1,1,0,1,0,0,0,0,0,0,5,"There are heat pump based solutions that could offer both heating and cooling. The awareness of the impacts of the future climate (anticipated 30% reduction in heating energy demand by 2030s) is in its fledgling state. As long as we have an understanding of the average future climate of the 2050s and design our retrofits from that perspective, that would help.",Homeowner interest in sustainability
15sb4,2,5,3,7,6,5,5,5,5,5,1,5,2,3,4,3,0,1,1,1,0,0,0,0,0,0,0,4,they might choose to upgrade their windows to higher energy efficiency and lower solar heat gain coeffs (depending on what the model says about overheating). Upgrade to heat pump with cooling as necessary.,Vancouver's real estate market and CoV focus on Sustainability
15gwh2,5,5,3,7,6,4,4,4,4,4,2,5,2,3,4,3,0,1,1,1,0,0,0,0,0,0,0,2,The building is old and needs enclosure needs key repairs by 2030s. She can sell the lot to a developer and get a MURB built with a brand new energy efficient suite for herself (in an ideal world!).,likely carbon free by 2050 if they reconstruct
11mp2,1,5,6,7,6,1,1,1,1,1,2,1,1,5,8,4,1,0,0,0,1,0,0,1,0,0,0,2,no response,The age of the house and the age of the owners as well as their life style. The property could be carbon free only if demolished and new house built on the site is enforced to be carbon free.
11gwh6,5,5,6,7,6,1,1,1,1,3,3,3,1,5,8,4,1,0,0,0,1,0,0,1,0,0,0,6,no response,"The family income cannot support an extensive retrofit. They will likely stay in the house (this area has better schools) as they are cautios about childrens education. They will likely do some upgrades, but not sufficient enough to achieve Step 5."
11wc3,3,5,6,7,6,5,1,1,1,3,3,7,1,5,6,4,1,0,0,0,1,1,0,0,0,0,0,3,no response,Regardless of great family income it is unlikely that significant home building envelope retrofit will be performed. The home is already very efficient and thge only improvment I envision in this home would be adding heat pump domestic water heater (instead of electric resistance heater). Potential energy savings and return of investment for bringing this home to Step 5 would not be atractive even for this family.
9mp4,1,7,3,7,4,6,5,3,1,5,2,7,1,6,8,4,1,0,0,0,0,1,0,1,0,0,0,4,no response,"1) likelyhood that furnace and boiler will be replaced with heat pumps, and 2) the fact that windows will be replaced between 2030 and 2040"
9sb2,2,7,3,7,4,7,4,3,1,5,3,7,5,6,8,4,0,0,0,0,1,1,0,1,0,0,0,2,no response,"Hot water is already carbon free. Furnace must be replaced by 2025, most likely with another furnace but possibly with a heat pump. If not, this new furnace will need replacement before 2050 and by then retrofit regulations will require a heat pump."
9wc5,3,7,3,7,4,7,5,5,1,6,3,7,1,6,8,4,1,0,0,0,0,1,0,1,0,0,0,5,no response,it is already all-electric and thus carbon free.
8mp5,1,7,6,6,6,3,1,1,1,3,2,3,4,6,8,3,0,0,0,1,0,1,0,1,0,0,0,5,no response,Owners do not upgrade their home for energy efficiency voluntarily
8sb3,2,7,6,6,6,5,4,1,1,3,3,3,4,6,8,3,0,0,0,1,0,1,0,1,0,0,0,3,no response,The house will be sold and the new owner may do some minor upgrade
8wc6,3,7,6,6,6,7,5,4,3,5,3,4,4,6,8,3,0,0,0,1,0,1,0,1,0,0,0,6,no response,the household characteristic
7mp6,1,7,1,6,3,5,6,2,1,3,2,1,1,2,8,2,1,1,0,0,0,0,0,1,0,0,0,6,no response,"Energy Step Code Metrics, Vancouver single family housing market stats, housing renovation trends, information about home owner preference and choices."
7sb4,2,7,1,6,3,5,6,4,3,4,1,5,1,3,8,2,1,0,1,0,0,0,0,1,0,0,0,4,no response,"Vancouver single family housing market, Energy Step Code Metrics, Renovation statistics"
7gwh1,5,7,1,6,3,6,6,3,1,2,3,2,3,4,8,2,0,0,1,1,0,0,0,1,0,0,0,1,no response,"Heritage home guidelines in Vancouver, energy step code metrics, single family housing market trends"
5vs2,4,5,3,7,5,5,2,1,1,1,2,4,4,5,6,4,0,0,0,1,1,1,0,0,0,0,0,2,"Energy is cheap, retrofitting a building envelope is not. A robust building envelope retrofit is required, as well as adding heat recovery to ventilation. This would be very expensive and not financially attractive in terms of payback on investment. I don't see a way to force people to make such large renovations to their homes unless it is heavily subsidized, and even then people may not do it unless it will overall save them money, or even if it did, simply because they don't know about these things and are hesitant to pursue such a big and disruptive renovation. Not to mention the risks of discovering other costs for upgrades once the retrofit starts.

I think it's far more likely that the property would achieve high performance through being torn down and rebuilt, at which time it would be subject to high performance standards. This seems more likely to me due to the land value.","uncertainty in how long the current owners plan to live in the home as-is, and at what point it is sold as a tear-down and a home built to applicable high performance standards at that time."
5sb6,2,5,3,7,5,5,1,1,1,2,3,1,5,6,11,4,0,0,0,0,1,1,0,0,0,0,1,6,"Again, it comes down to the fact that to achieve high performance, major renovations would be required. At some point it is easier and more cost effective to replace the home entirely, which seems more likely with the land prices in Vancouver, particularly if this home on a large lot is replaced with a duplex or other more dense housing.","Achieving Step 3 or greater would require improved air tightness and most importantly, central ventilation through an HRV. Adding HRV ducting to an existing home seems unlikely to me. In addition, the home would require major updates to the building envelope thermal performance as well as air tightness. I don't believe these are likely to happen due to the cost"
5gwh3,5,5,3,7,5,2,1,1,1,1,2,4,4,5,6,3,0,0,0,1,1,1,0,0,0,0,0,3,no response,Wondering what value is placed on the heritage of this vintage of home. It may lead to someone deciding to do a deep retrofit rather than tear down and rebuild.
4vs3,4,7,6,7,7,1,1,1,1,2,2,7,2,3,9,3,0,1,1,0,0,0,0,0,1,0,0,3,"It's important to consider economic viability and social equity in developing related policies or incentives.


Repeated from input above:
Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable.","electrification, and perhaps rebuilt"
4mp1,1,7,6,7,7,1,1,1,1,2,2,7,2,3,9,3,0,1,1,0,0,0,0,0,1,0,0,1,"It's important to consider economic viability and social equity in developing related policies or incentives.


Repeated from input above:
Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable.","electrification, and likely new construction"
4gwh4,5,7,6,7,7,3,2,1,1,6,3,7,1,2,3,4,1,1,1,0,0,0,0,0,0,0,0,4,"Despite the possible high motivation of these homeowners to improve the environmental performance of their home, it's still very important to consider economic viability and social equity in developing related policies or incentives.","electrification, with upgrade to building envelop, windows and mechanical systems; also considering home character and size for a relatively small lot."
2vs5,4,7,2,7,5,5,4,4,3,4,2,5,1,7,8,3,1,0,0,0,0,0,1,1,0,0,0,5,no response,"Bias - I expect policy to mandate heat pumps by 2035, so decarbonize via fuel switch, not energy efficiency"
2mp3,1,7,2,7,5,4,3,2,1,3,3,5,1,7,8,3,1,0,0,0,0,0,1,1,0,0,0,3,no response,See previous comment about heat pumps
2gwh6,5,7,2,7,5,5,4,3,3,4,1,5,1,7,8,3,1,0,0,0,0,0,1,1,0,0,0,6,no response,See previous
2vs5,4,7,2,7,6,4,1,1,1,4,2,4,1,8,8,3,1,0,0,0,0,0,0,1,0,0,0,5,Incentives are fine as supporting mechanisms but ultimately we need clear regulation to get off fossil fuels. Also there is often conflation of energy efficiency with GHG reduction. Energy efficiency alone is not enough to reduce CO2 in line with CoV's new climate commitments.,"I assume the house would be torn down and re-built within 5-7 years due to age of building/system and occupants (father likely passed away, son likely moved out). Under existing/anticipated policy within this timeframe, gas heating is still allowed, and fossil gas has artificially low rates due to subsidization of the industry. Therefore, with higher costs of heat pumps, there is no major driver to go zero carbon at this time. On the other hand, as the family is environmentally minded they may choose this direction."
2mp3,1,7,2,7,6,2,1,1,1,1,2,4,4,7,8,3,0,0,0,1,0,0,1,1,0,0,0,3,no response,"Seems unlikely this family will live in the same house for 30 years, and/or significantly invest in upgrades, therefore demolish/rebuild either under their ownership or another seems likely. Whether or not it is carbon neutral depends mostly on when it rebuilds and what the city policy is at that time."
2gwh6,5,7,2,7,6,5,4,2,1,5,3,6,4,7,8,3,0,0,0,1,0,0,1,1,0,0,0,6,no response,"The building has a high aesthetic and heritage value. It is already heated primarily with electricity, and would be a good candidate for and air source heat pump retrofit."
1vs6,4,5,3,5,5,5,4,3,2,5,2,4,2,7,8,3,0,1,0,0,0,0,1,1,0,0,0,6,no response,"if the couple has undertaken retrofits in the past and is conscientious about their environmental impact, they will likely undertake future retrofits. Plus, if the couple downsizes and sells the house, it will likely be torn down, given its age."
1mp4,1,5,3,5,5,3,2,1,1,2,3,4,2,6,8,3,0,1,0,0,0,1,0,1,0,0,0,4,no response,"The family likely won't be able to finance a major retrofit, and sounds like they may be there for the long term. Achieving Step 5 would require a major building renovation including envelop, which is a very expensive investment that doesn't see a payback."
1sb1,2,5,3,5,5,6,5,4,4,5,2,5,5,7,8,3,0,0,0,0,1,0,1,1,0,0,0,1,"Like most existing buildings, the cost of retrofitting the building to achieve Step 5 would probably be better spent rebuilding the house with passive features incorporated. You can't retrofit the shape of a house to optimize window placement to catch light and wind. If Part 9 Code requires ""passive ready"" design, it's more likely a house will be carbon neutral by 2050.","If the couple downsizes after the kids move out in the next 10 years, the house will likely be rebuilt (since it's in Shaughnessy, the added cost of rebuilding would be relatively small compared to the price of the property). If regulations require high efficiency new builds, the house could achieve high levels on the Step Code."
