respondent,id,narr-archetype,narr-optimism,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno_plan,prm-wall_type,prm-wall_age,prm-window_type,prm-window_age,prm-roof_type,prm-roof_age,prm-heat_eff,prm-heat_fuel,prm-heat_age,prm-dhw_eff,prm-dhw_fuel,prm-dhw_age,prm-cool_fuel,prm-leakage,prm-maintenance,prm-asbestos,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,sort,resp-binary_step2,resp-binary_step3,resp-binary_step4,resp-binary_step5,resp-binary_higheff,resp-binary_carbon2050,resp-policy1_updated,resp-policy2_updated,resp-policy3_updated,resp-policy_option1,resp-policy_option2,resp-policy_option3,resp-policy_option4,resp-policy_option5,resp-policy_option6,resp-policy_option7,resp-policy_option8,resp-policy_option9,resp-policy_option10,resp-influential_param,resp-additional_info
24,mp2,1,2,4,1,5,3,2,3,1,1,1,2,2,1,0,0,1,5,1,5,1,5,1,1,4,1,1,5,1,2,4,0,2,1,1,1,1,3,1,1,5,8,3,5,4,7,6,11,0,0,0,0,0,0,1,5,8,1,0,0,0,1,0,0,1,0,0,"Understanding of the Vancouver market (I would have said ""demolished and rebuilt"" if it were in Vancouver, as I'm assuming the owners will sell before 2035 and move to a condo, but in N Van there are fewer land assemblies so I'm assuming it will be bought by a young family who will reno the inside only).","I'm fairly certain this home will be sold before 2035 so that the retired couple can move into a smaller home and save on monthly maintenance, plus pay lower utilities, etc. So that's why I chose the benchmarking as a useful tool as I'm imagining it occurring during the buy/sell process. I also would hope that the new owners would have to follow a retrofit code for any upgrades they undertake."
24,gwh1,5,1,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,1,1,3,0,2,1,1,1,1,3,1,1,8,9,3,1,4,7,6,12,0,0,0,0,0,0,1,8,6,1,0,0,0,0,1,0,1,0,0,Difficult to retrofit to high energy efficiency- would require full cladding update that may be difficult when maintaining character on such a home (I'm assuming that would be required),"It sounds like this building will likely be sold in the timeframe. The current owner would have zero interest in upgrading. The new owners might, but unless there is a mandated retrofit code, there is no guarantee. The discussion didn't mention heritage requirements, but there may be some given the age and character of the house, that would result in additional costs to upgrade."
23,vs3,4,3,4,1,2,2,3,3,4,3,2,2,3,1,0,1,1,4,2,4,1,3,2,1,4,2,1,4,1,2,4,0,4,3,1,1,4,3,5,1,7,9,2,5,1,7,2,13,9,0,0,0,9,1,1,7,7,1,0,0,0,0,0,1,0,0,0,stated equipment and envelope replacement timelines; knowledge of City of Vancouver's zero-emission thermal equipment requirements by 2025; lack of active cooling and rising temperatures; possible addition of EUI load in adding a rental suite;,"Also considered ""Innovative financing mechanisms..."" policy instrument, but decided this was less likely to be as valued by this couple given the desire to fund upgrades through personal savings."
23,mp1,1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,2,1,1,1,1,2,7,1,6,9,2,10,1,7,2,14,0,0,0,0,0,1,1,6,7,1,0,0,0,0,1,1,0,0,0,"not financially-inclined/able to invest in EE or GHG reductions; timing of equipment replacements does not line up, so unlikely to shift to a central heat pump system if looking to add cooling (particularly if before 2025, which seems likely); age of building, presence of asbestos, and more difficult/costly to retrofit thermal equipment setup",
23,gwh4,5,4,5,4,4,1,1,2,4,2,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,1,1,4,0,2,1,1,1,4,3,6,3,7,8,2,7,1,7,2,15,0,0,0,0,9,1,3,7,8,0,0,1,0,0,0,1,1,0,0,"lack of cooling; likelihood that home will be sold before 2035; desirable character of the home; potential to replace fireplaces with heat pumps, but potential for owner to not want a heat pump to avoid affecting look and feel of the home",
22,mp4,1,4,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,6,3,1,4,2,6,3,8,9,3,10,3,7,5,16,1,1,0,0,9,1,3,8,6,0,0,1,0,0,1,0,1,0,0,"Their ability to meet upper steps will depend on whether they opt to install a heat pump as their heating and cooling system when the furnace it out. However, if the whole are surrounding the house is being redeveloped, the likliehood is that the home would experience the same fate as others, where density is favoured and land values reflect that. (Though, I'm not super familiary with the Vancouver context, so it's just informed by the stories I've heard!)",
22,mp4,1,4,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,3,3,3,6,2,7,1,4,8,4,10,1,6,5,19,1,0,0,0,1,1,1,4,8,1,0,0,1,0,0,0,1,0,0,City of Vancouver's mandate to both densify the City (in the works with our City-wide plan) and aggressively zero emissions-ify our housing stock,"Story specific: the likely outcome for this house is to upgrade their space heating + DHW systems to electric-based equipment after 2025 when this will be a requirement. The contractor will ideally recommend air tightness and envelope improvements to improve comfort and lower bills. 
 
 General information (not story specific) In the City of Vancouver, we have the mandate and regulation authority to set GHG emissions limits / prescriptive equipment use. Rather than energy efficiency (which Step Code supports, meaning fossil fuels are not diminished at nearly the same rate) we are focused on electrifying mechanical equipment and appliances. With supporting focus on improving the envelope to reduce heating / cooling loads.
 
 So while Vancouver homes will likely not hit high levels of the Step Code, they will achieve significant GHG reductions. 
 
 Near term priorities are 1) create support solutions for those with the highest needs (high energy bills + low income) and 2) public education! Get green-minded people asking for these upgrades."
22,gwh3,5,3,5,1,3,1,2,2,1,2,4,1,1,0,1,1,1,5,2,5,1,5,1,3,5,1,1,5,1,1,4,0,5,2,2,2,5,3,7,4,6,8,3,7,1,6,5,20,1,0,0,0,1,1,4,6,8,0,0,0,1,0,1,0,1,0,0,"Heritage character, large, unlikely to be demolished.","I foresee a PACE - like property-based financing structure would work well here to facilitate an envelope upgrade paired with a central heating+cooling heat pump system. A 5 head ductless mini-split system could avoid the need for invasive ductwork. The financial benefit from switching from 100% baseboard to 300+% efficient heat pump could provide a quick payback.
 
 A homeowner support tool (online and / or in person) would likely be useful for this couple."
22,wc1,3,1,2,3,1,2,1,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,5,5,1,1,6,3,7,1,7,8,4,7,1,6,5,21,1,1,0,0,1,1,1,7,8,1,0,0,0,0,0,1,1,0,0,"Home is already all-electric (for space heating + hot water), regulation will eventually require appliances to be electrified as well. But that is far away.",This home nearly meets the zero emissions criteria (all electric for space heating + DHW). It is well on its way to be future-proofed for regulation. All that is left is the fireplaces and gas appliances.
25,vs4,4,4,3,1,1,2,3,3,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,5,1,2,3,0,5,1,1,1,5,2,3,6,9,9,4,5,4,7,6,22,1,0,0,0,1,0,6,6,6,0,0,0,0,0,1,0,0,0,0,"The rate of homes that are demolished in the City on an Annual Basis, The most costly part of the home is the land. The occupancts are morel likely to demolish the building and rebuild this sort of home then to retrofit becuase the home is extremly ugly","Don't compare current buildings to a new code like step code that has yet to be proven. 
 There are serious health and safety concerns with the Step code approach that are likely to have negative impacts to occupancy health and well being. The baseline for an existing building is the current energy use from the billing data. There is no benefit to comparing it to Step Code that i can see whatsoever. 
 
 it's also impossible, how do you measure the TEDI of an existing building ?"
19,vs1,4,1,6,1,5,1,2,4,1,nan,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,1,7,6,4,1,4,2,1,2,6,7,4,5,3,6,5,25,1,1,9,0,9,0,2,6,7,0,1,0,0,0,1,1,0,0,0,"Systems - though upgraded - are still low performance. Owner's age and financial situation makes retrofit less desirable. I selected 'neutral' in response to that question to reflect a possible opportunity to improve envelope performance when upgrading acoustic performance of the rental suite...and because elderly get cold more easily and retrofit would reduce energy bills - a boomer value (I say that partially tongue-in-cheek, but partly serious). Asbestos remediation might also be a driver, if a suspected connection to a decline in their health...though having lived with it for so long, they would be less motivated, than say a family with kids or expecting. (A transition to entry-level supported living might be more viable, but on the other hand, social isolation is a killer and they sound invested in their community, so would likely be motivated to stay in the neighbourhood). Any helper suite retrofit would likely be piecemeal at best...unless incentives offered to make a comprehensive retrofit viable - a notable 'if'. Given their age and Vancouver's steadily growing demographic and rising inflation, demolition and rebuilding is more likely (unless alternatives incentivized). While the new home may be designed to net zero, the significant expenditure in embodied carbon would negatively impact the critical reductions needed between now and 2030 / 2050.","Not having read this question before responding to the above, I added most of my qualifiers into the previous text response field. As an architect, I would add that while disregarded by many stylistically (for good reason), they can have good bones for modern renovations. That said, these protagonists are very unlikely candidates for such an investment.
 
 Motivation for the three recommended incentive strategies was based on the fact that these protagonists would likely value financial viability and ease of implementation over any others.
 
 Oh, and answers to the 'likeliness of achieving various step code levels by 2035' question reflect responses to subsequent questions about retrofit likelihood. (I had initially filled them out negating these factors, but that would seem to lessen the value of the speculative exercise). A prompt to confirm what you're looking for there would help respondents put any doubts to rest."
19,gwh6,5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,1,3,5,1,1,5,1,1,4,0,7,7,7,7,7,1,7,2,3,5,4,7,3,6,5,26,1,1,1,1,1,1,2,3,5,0,1,1,0,1,0,0,0,0,0,"The protagonists' demographic (being parents with wide age spread and young family), their relative financial comfort (affluence via stability if not number of zeros), their investment in the house (valuing its design and caring enough to maintain it...and even enjoying the DIY aspect), and their desire to stay in a good neighbour as their kids grow, and the many options such a property affords to accommodating shifting living structures as they get old and their kids grow up (i.e. they could subdivide the house for one of their kid's family, and another could live in a new laneway house in the spacious back yard)","Given their ecological ethics, and the wife research background (as a journalist) and the husband's interest (and likely growing competence and confidence) in DIY projects, I expect they would already be hip to the need to improve their home's energy performance; and would do their own research to get up to speed on things they needed to do.
 
 Given their financial stability, they are not hand to mouth, so would likely be well-served by a more conventional 'green grant' , 'green loan' mechanism. 
 
 Given the husband's DIY interests, the coupling of retrofits into packages would be a more satisfying (and more effective) way for them to get further faster. The uprooting chaos of a comprehensive retrofit would be daunting thought with 2-3 small kids (and even more so with one in the oven); and an unstructured one-by-one approach could mean they would be in perpetual reno mode - also chaotic and stressful.
 
 The 'best practices' component of the education campaign did give me pause, if this included DIY How-tos. Though again, given the husband's comfort in this space as outlined, I imagine they could figure this out on their own on-line and with the occasional help line chat with a seasoned Home Depot employee."
19,wc4,3,4,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,7,6,6,4,1,6,1,5,6,4,7,3,6,5,27,1,1,1,1,9,1,1,5,6,1,0,0,0,1,1,0,0,0,0,"Given the description, I envision any renovations being dependent on incentives (and / or combination of incentives and social competition / shaming). The stepped responses in 'likeliness' reflect suspected CBA evaluation thresholds. Given air leakage, I could imagine them springing for an airtightness retrofit as the most economical option if they could do only one thing. If incentives compelling enough (and / or social shaming great enough) I imagine this would motivate greater retrofit investments. And that, if they were doing it, I imagine the would see the value in doing this all at once - because this is cheaper in the long run (as any Civil Engineer would know). ...and no one wants their mother-in-law nagging about the renos not being done yet, or about the shame they are forced to suffer because theirs is the worst performing house of anyone in her bridge club.","Given their financial affluence and their most likely retrofit motivators being incentives and social status, conventional financing mechanisms and mandated public disclosure seem the most likely triggers.
 
 I could imagine attaching loans to meter savings being an added bonus (perhaps more psychological than fiscal) for the civil engineer husband as performance analytics teachable-moments with his son. 
 
 Anecdotal aside supporting the latter: 
 M father is a PEng. Though not motivated by eco-social ethics (at least not until my daughter turned three and started scolding him for not), after he got his Nest thermostat, he became a highly competitive energy conservation ambassador. (Literally emailing us his Nest reports and letting us know how much he 'beat' his neighbour Joe by)."
18,vs2,4,2,3,1,1,1,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,2,1,2,1,0,5,4,1,1,5,2,6,3,6,8,3,4,3,7,6,28,1,9,0,0,1,1,3,6,8,0,0,1,0,0,1,0,1,0,0,"If it is torn down, like that CoV will have net-zero carbon requirements in place by then.",
18,sb1,2,1,3,2,2,3,2,3,4,nan,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,4,0,5,4,1,1,5,3,6,3,6,8,3,7,3,7,6,29,1,9,0,0,1,1,3,6,8,0,0,1,0,0,1,0,1,0,0,"By the time the furnace needs updated, it is likely that CoV will encourage/mandate heat pumps...",
18,wc5,3,5,2,3,1,1,2,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,4,2,1,3,3,7,1,6,8,3,7,3,7,6,30,1,9,0,0,0,1,1,6,8,1,0,0,0,0,1,0,1,0,0,Already is all electric...,
17,vs3,4,3,3,1,1,2,1,2,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,5,5,3,1,3,3,5,1,2,8,3,7,3,7,6,31,1,1,0,0,0,1,1,2,8,1,1,0,0,0,0,0,1,0,0,"No motivators for renewing the house for this particular user identity, I don't see drivers for them to sell and leave either.",It appears as though their is no major driver for this particular type of owner. It is my opinion that only larger forces (like a public narrative that made you a pariah if you didn't retrofit your home or regulation) would drive this kind of homeowner.
17,sb2,2,2,5,1,4,1,1,3,1,1,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,5,0,7,5,3,1,5,2,5,1,7,9,3,5,3,7,6,32,1,1,0,0,1,1,1,7,9,1,0,0,0,0,0,1,0,1,0,"They will age out of the home before 2050 and it will be torn down and rebuilt to code, which will be carbon free by that time.",
17,wc6,3,6,2,2,1,3,3,3,2,nan,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,4,2,2,2,1,5,1,4,7,3,5,3,7,6,33,1,9,0,0,0,1,1,4,7,1,0,0,1,0,0,1,0,0,0,"A renovation in this type of area and income class is likely for non-energy reasons, opening door for retrofit.",
16,vs4,4,4,3,1,1,2,3,3,1,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,5,1,2,3,0,5,4,3,2,5,3,1,3,4,9,4,5,3,7,6,34,1,9,0,0,1,0,3,4,2,0,1,1,1,0,0,0,0,0,0,"The age of the house, the likely motivation level of the owners, and the effort required to bring a house of this age/condition to be Step 5-compliant.","IMO, a big part of today's situation is lack of consumer knowledge. Industry and government would be in a much better position to provide retrofit solutions if homeowners demanded high efficiency homes. Without 'bottom-up' demand push, implementation of policies and mandatory regulations will always be met with some resistance."
16,sb3,2,3,6,1,4,1,1,2,1,nan,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,5,3,2,5,2,6,9,9,9,4,7,3,7,6,35,1,1,0,0,1,1,10,10,2,0,1,0,0,0,0,0,0,0,1,"Age of the homeowners, and likelihood that new owners will demolish and rebuild, given the very high land value of the property.","This type of house is in a 'dead zone' of retrofit potential. Unlike a Vancouver Special, it doesn't have any nostalgic value. In fact, it likely represents an 'unfavoured' era of Vancouver's single family home architecture/design/development. As a result, I find it unlikely that it will be retrofitted/renovated. It is a classic candidate for demo/rebuild."
16,gwh1,5,1,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,1,1,3,0,5,5,3,2,5,3,5,3,7,8,4,1,3,7,6,36,1,1,0,0,1,1,3,7,8,0,0,1,0,0,0,1,1,0,0,"Vancouver has implemented incentives to retain Character Homes. This house would qualify, so I could see a subsequent homeowner expanding the house and rebuilding the garage into a laneway house, and using the opportunity to complete a full-building energy retrofit.","Unlike Case 2, this house is of an archtype much loved by Vancouverites, and the City has demonstrated its desire to retain them. With the proper package of incentives, including senior government tax credits, utility rebates and City incentives, a moderate-level upgrade would be both achievable and desirable by a future homeowner."
15,vs5,4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,6,6,6,6,5,1,5,2,3,5,3,1,3,7,6,37,1,1,1,1,1,1,2,3,5,0,1,1,0,1,0,0,0,0,0,Homeowner interest in sustainability,"There are heat pump based solutions that could offer both heating and cooling. The awareness of the impacts of the future climate (anticipated 30% reduction in heating energy demand by 2030s) is in its fledgling state. As long as we have an understanding of the average future climate of the 2050s and design our retrofits from that perspective, that would help."
15,sb4,2,4,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,5,5,5,5,1,5,2,3,4,3,6,3,7,6,38,1,1,1,1,1,1,2,3,4,0,1,1,1,0,0,0,0,0,0,Vancouver's real estate market and CoV focus on Sustainability,they might choose to upgrade their windows to higher energy efficiency and lower solar heat gain coeffs (depending on what the model says about overheating). Upgrade to heat pump with cooling as necessary.
15,gwh2,5,2,5,4,4,1,1,2,4,2,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,1,1,4,0,4,4,4,4,4,2,5,2,3,4,3,7,3,7,6,39,9,9,9,9,9,1,2,3,4,0,1,1,1,0,0,0,0,0,0,likely carbon free by 2050 if they reconstruct,The building is old and needs enclosure needs key repairs by 2030s. She can sell the lot to a developer and get a MURB built with a brand new energy efficient suite for herself (in an ideal world!).
11,mp2,1,2,4,1,5,3,2,3,1,1,1,2,2,1,0,0,1,5,1,5,1,5,1,1,4,1,1,5,1,2,4,0,1,1,1,1,1,2,1,1,5,8,4,5,6,7,6,40,0,0,0,0,0,0,1,5,8,1,0,0,0,1,0,0,1,0,0,The age of the house and the age of the owners as well as their life style. The property could be carbon free only if demolished and new house built on the site is enforced to be carbon free.,
11,gwh6,5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,1,3,5,1,1,5,1,1,4,0,1,1,1,1,3,3,3,1,5,8,4,7,6,7,6,41,0,0,0,0,0,0,1,5,8,1,0,0,0,1,0,0,1,0,0,"The family income cannot support an extensive retrofit. They will likely stay in the house (this area has better schools) as they are cautios about childrens education. They will likely do some upgrades, but not sufficient enough to achieve Step 5.",
11,wc3,3,3,2,2,1,3,3,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,3,0,5,1,1,1,3,3,7,1,5,6,4,5,6,7,6,42,1,0,0,0,0,1,1,5,6,1,0,0,0,1,1,0,0,0,0,Regardless of great family income it is unlikely that significant home building envelope retrofit will be performed. The home is already very efficient and thge only improvment I envision in this home would be adding heat pump domestic water heater (instead of electric resistance heater). Potential energy savings and return of investment for bringing this home to Step 5 would not be atractive even for this family.,
9,mp4,1,4,2,1,1,2,1,3,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,3,1,6,5,3,1,5,2,7,1,6,8,4,5,3,7,4,43,1,1,0,0,1,1,1,6,8,1,0,0,0,0,1,0,1,0,0,"1) likelyhood that furnace and boiler will be replaced with heat pumps, and 2) the fact that windows will be replaced between 2030 and 2040",
9,sb2,2,2,5,1,4,1,1,3,1,1,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,5,0,7,4,3,1,5,3,7,5,6,8,4,5,3,7,4,44,1,9,0,0,1,1,5,6,8,0,0,0,0,1,1,0,1,0,0,"Hot water is already carbon free. Furnace must be replaced by 2025, most likely with another furnace but possibly with a heat pump. If not, this new furnace will need replacement before 2050 and by then retrofit regulations will require a heat pump.",
9,wc5,3,5,2,3,1,1,2,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,5,5,1,6,3,7,1,6,8,4,5,3,7,4,45,1,1,1,0,1,1,1,6,8,1,0,0,0,0,1,0,1,0,0,it is already all-electric and thus carbon free.,
8,mp5,1,5,4,1,5,3,2,3,1,1,1,2,2,1,0,0,1,5,1,5,1,5,1,1,4,1,1,5,1,2,4,0,3,1,1,1,3,2,3,4,6,8,3,7,6,6,6,46,0,0,0,0,0,0,4,6,8,0,0,0,1,0,1,0,1,0,0,Owners do not upgrade their home for energy efficiency voluntarily,
8,sb3,2,3,6,1,4,1,1,2,1,nan,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,4,1,1,3,3,3,4,6,8,3,7,6,6,6,47,1,9,0,0,0,0,4,6,8,0,0,0,1,0,1,0,1,0,0,The house will be sold and the new owner may do some minor upgrade,
8,wc6,3,6,2,2,1,3,3,3,2,nan,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,5,4,3,5,3,4,4,6,8,3,5,6,6,6,48,1,1,9,0,1,9,4,6,8,0,0,0,1,0,1,0,1,0,0,the household characteristic,
7,mp6,1,6,3,5,3,2,1,3,5,2,1,2,2,1,0,0,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,6,2,1,3,2,1,1,2,8,2,5,1,6,3,49,1,1,0,0,0,0,1,2,8,1,1,0,0,0,0,0,1,0,0,"Energy Step Code Metrics, Vancouver single family housing market stats, housing renovation trends, information about home owner preference and choices.",
7,sb4,2,4,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,6,4,3,4,1,5,1,3,8,2,7,1,6,3,50,1,1,9,0,9,1,1,3,8,1,0,1,0,0,0,0,1,0,0,"Vancouver single family housing market, Energy Step Code Metrics, Renovation statistics",
7,gwh1,5,1,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,1,1,3,0,6,6,3,1,2,3,2,3,4,8,2,1,1,6,3,51,1,1,0,0,0,0,3,4,8,0,0,1,1,0,0,0,1,0,0,"Heritage home guidelines in Vancouver, energy step code metrics, single family housing market trends",
